Average delay	Time
0	
3	0525
3	0530
3	0556
3	0557
3	0554
3	0555
3	0552
3	0553
3	0558
3	0559
4	0600
4	0615
4	0630
4	0700
4	0511
4	0523
4	0521
4	0528
4	0535
4	0539
4	0540
4	0549
4	0550
4	0551
5	0601
5	0605
5	0610
5	0620
5	0628
5	0629
5	0626
5	0627
5	0624
5	0625
5	0635
5	0645
5	0640
5	0655
5	0659
5	0657
5	0658
5	0515
5	0524
5	0522
5	0520
5	0529
5	0527
5	0526
5	0538
5	0536
5	0545
5	0543
5	0548
6	0608
6	0609
6	0606
6	0607
6	0604
6	0602
6	0603
6	0611
6	0612
6	0619
6	0618
6	0616
6	0613
6	0614
6	0622
6	0623
6	0621
6	0631
6	0639
6	0644
6	0656
6	0650
6	0458
6	0456
6	0459
6	0508
6	0512
6	0518
6	0514
6	0532
6	0531
6	0546
6	0544
6	0541
6	0542
6	0547
7	0800
7	0617
7	0633
7	0634
7	0632
7	0637
7	0638
7	0636
7	0642
7	0643
7	0641
7	0649
7	0653
7	0654
7	0705
7	0701
7	0730
7	0500
7	0519
7	0516
7	0537
8	0648
8	0646
8	0647
8	0651
8	0652
8	0457
8	0702
8	0710
8	0715
8	0725
8	0740
8	0745
8	0755
8	0510
8	0759
8	0534
8	0533
9	0805
9	0815
9	0830
9	0709
9	0703
9	0704
9	0720
9	0729
9	0727
9	0728
9	0735
9	0504
9	0750
9	0758
9	0757
10	0810
10	0820
10	0825
10	0855
10	0455
10	0454
10	0900
10	0707
10	0708
10	0706
10	0711
10	0714
10	0713
10	0726
10	0724
10	0739
10	0743
10	0502
10	0744
10	0509
10	0754
10	0513
10	0517
10	0756
11	0801
11	0828
11	0829
11	0835
11	0840
11	0845
11	0850
11	0859
11	0858
11	0930
11	0719
11	0716
11	0712
11	0721
11	0723
11	0731
11	0738
11	0737
11	0734
11	0501
11	0741
11	0742
11	0749
11	0753
11	0751
12	0808
12	0809
12	0806
12	0807
12	0804
12	0802
12	0803
12	0813
12	0814
12	0826
12	0827
12	0824
12	0854
12	0857
12	0856
12	1100
12	0905
12	0925
12	0718
12	0717
12	0722
12	0732
12	0733
12	0736
12	0505
12	0748
12	0503
12	0746
12	0752
13	1000
13	1030
13	0819
13	0817
13	0818
13	0816
13	0811
13	0812
13	0821
13	0823
13	0831
13	0839
13	0843
13	0844
13	0853
13	0915
13	0910
13	0920
13	0507
13	0747
13	1200
14	1230
14	1005
14	1055
14	1059
14	0822
14	0832
14	0837
14	0838
14	0836
14	0833
14	0834
14	0842
14	0841
14	0848
14	0849
14	0851
14	0852
14	0453
14	1105
14	1130
14	0901
14	0929
14	0928
14	0935
14	0940
14	0945
14	0959
14	0955
14	0506
15	1010
15	1020
15	1015
15	1025
15	1050
15	1058
15	0846
15	0847
15	1300
15	1330
15	1110
15	1125
15	1155
15	0903
15	0904
15	0902
15	0927
15	0926
15	0950
15	0958
15	0957
16	1215
16	1225
16	1035
16	1045
16	1057
16	0450
16	1325
16	1120
16	1115
16	1140
16	1145
16	1159
16	1158
16	0909
16	0907
16	0908
16	0906
16	0919
16	0914
16	0912
16	0913
16	0911
16	0923
16	0924
16	0931
16	0956
16	1205
17	1220
17	1210
17	1240
17	1250
17	1245
17	1001
17	1259
17	1258
17	1255
17	1029
17	1028
17	1040
17	1056
17	1310
17	1320
17	1129
17	1135
17	1150
17	1157
17	0918
17	0916
17	0917
17	0921
17	0922
17	0939
17	0934
17	0932
17	0933
17	0954
17	1430
18	1229
18	1235
18	1008
18	1006
18	1004
18	1003
18	1002
18	1009
18	1257
18	1014
18	1013
18	1027
18	1026
18	1024
18	1054
18	1700
18	1500
18	1305
18	1315
18	1329
18	1104
18	1103
18	1102
18	1101
18	1109
18	1128
18	1127
18	1154
18	1156
18	0938
18	0937
18	0949
18	0943
18	0944
18	0953
18	1400
19	1228
19	1011
19	1007
19	1019
19	1256
19	1012
19	1254
19	1033
19	1031
19	1023
19	1044
19	1053
19	1052
19	1051
19	1049
19	1327
19	1328
19	1335
19	1107
19	1106
19	1108
19	1114
19	1113
19	1119
19	1131
19	1126
19	1124
19	1123
19	1153
19	1144
19	0936
19	0941
19	0942
19	0948
19	0952
19	0951
19	1600
19	1204
19	1203
19	1202
19	1201
20	1459
20	1214
20	1213
20	1455
20	1231
20	1227
20	1226
20	1224
20	1239
20	1244
20	1243
20	1022
20	1021
20	1018
20	1016
20	1032
20	1043
20	1042
20	1039
20	1038
20	1037
20	1034
20	1530
20	1301
20	1326
20	1340
20	1331
20	1345
20	1121
20	1118
20	1359
20	1355
20	1112
20	1111
20	1132
20	1143
20	1141
20	1139
20	1134
20	1133
20	1152
20	1151
20	1149
20	0946
20	1415
20	1425
20	1440
20	1435
20	1206
20	1445
20	1209
21	1458
21	1212
21	1211
21	1219
21	1223
21	1221
21	1242
21	1241
21	1234
21	1233
21	1253
21	1249
21	1017
21	1041
21	1036
21	1048
21	1047
21	1046
21	1730
21	1505
21	1510
21	1515
21	0449
21	1304
21	1303
21	1302
21	0451
21	1309
21	1314
21	1313
21	1319
21	1324
21	1323
21	1334
21	1333
21	1332
21	1350
21	1117
21	1116
21	1122
21	1142
21	1138
21	1137
21	1148
21	1147
21	1146
21	0947
21	1630
21	1405
21	1410
21	1420
21	1429
21	1450
21	1208
21	1207
22	1217
22	1457
22	1218
22	1222
22	1238
22	1237
22	1232
22	1252
22	1251
22	1248
22	1247
22	1246
22	1525
22	1308
22	1307
22	1306
22	1555
22	1312
22	1311
22	1318
