Average late aircraft delay	Flight number
0	3640
0	4961
0	2309
0	2307
0	3637
0	4968
0	4980
0	4981
0	4982
0	1
0	2
0	4
0	5
0	6
0	7
0	8
0	4973
0	9
0	4974
0	3646
0	4977
0	4978
0	4979
0	4990
0	4991
0	4992
0	4993
0	1000
0	2330
0	2327
0	2326
0	2324
0	4983
0	4984
0	3654
0	4985
0	4986
0	4987
0	4988
0	4989
0	1011
0	1010
0	1008
0	1007
0	1006
0	1005
0	1004
0	2335
0	1003
0	1002
0	1001
0	4994
0	4995
0	4996
0	4997
0	4998
0	4999
0	3684
0	1022
0	1020
0	2347
0	2343
0	3674
0	1032
0	1031
0	1030
0	1028
0	1026
0	1025
0	2354
0	1044
0	1043
0	1042
0	1041
0	2371
0	1039
0	1038
0	1036
0	2367
0	1035
0	1034
0	3697
0	3698
0	1055
0	1054
0	1053
0	1052
0	1051
0	1050
0	2381
0	1049
0	1048
0	1047
0	1046
0	1045
0	1066
0	1065
0	1064
0	1063
0	1062
0	1061
0	2392
0	1060
0	1059
0	1056
0	1075
0	1074
0	1073
0	1071
0	1070
0	1068
0	1067
0	1080
0	9800
0	1088
0	1086
0	1083
0	1082
0	1078
0	1091
0	1090
0	1099
0	1096
0	1095
0	1094
0	1092
0	200
0	201
0	202
0	203
0	204
0	206
0	207
0	210
0	211
0	214
0	215
0	218
0	219
0	8503
0	9851
0	220
0	222
0	223
0	224
0	225
0	226
0	227
0	228
0	229
0	230
0	231
0	232
0	234
0	235
0	236
0	238
0	239
0	240
0	241
0	242
0	243
0	244
0	245
0	247
0	248
0	249
0	250
0	251
0	252
0	253
0	254
0	255
0	256
0	257
0	258
0	259
0	9899
0	262
0	264
0	265
0	266
0	267
0	8575
0	270
0	271
0	272
0	273
0	275
0	276
0	277
0	280
0	281
0	282
0	283
0	284
0	285
0	286
0	287
0	288
0	289
0	290
0	291
0	292
0	293
0	295
0	297
0	298
0	3716
0	3714
0	3720
0	3737
0	2408
0	2407
0	3750
0	2416
0	2413
0	2420
0	1110
0	2441
0	1106
0	2436
0	1104
0	1103
0	1102
0	1100
0	2431
0	1121
0	1120
0	1118
0	1117
0	1115
0	1114
0	1112
0	3778
0	1119
0	1132
0	1131
0	2462
